class,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Source,Source,Sink,Source,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Source,Sink,Source,Source,Sink,Source,Source,Source
label,AT_load,AT_solar,AT_wind_onshore,CH_load,CH_solar,CH_wind_onshore,CZ_load,CZ_solar,CZ_wind_onshore,DE_load,DE_solar,DE_wind_onshore,DE_wind_offshore,DE_hydro,DK_load,DK_solar,DK_wind_onshore,DK_wind_offshore,FR_load,FR_solar,FR_wind_onshore,LU_load,LU_solar,LU_wind_onshore,NL_load,NL_solar,NL_wind_onshore,NL_wind_offshore,PL_load,PL_solar,PL_wind_onshore,SE_load,SE_solar,SE_wind_onshore,SE_wind_offshore
source,DE_bus_el,AT_solar,AT_wind_onshore,CH_bus_el,CH_solar,CH_wind_onshore,CZ_bus_el,CZ_solar,CZ_wind_onshore,DE_bus_el,DE_solar,DE_wind_onshore,DE_wind_offshore,DE_hydro,DK_bus_el,DK_solar,DK_wind_onshore,DK_wind_offshore,FR_bus_el,FR_solar,FR_wind_onshore,DE_bus_el,LU_solar,LU_wind_onshore,NL_bus_el,NL_solar,NL_wind_onshore,NL_wind_offshore,PL_bus_el,PL_solar,PL_wind_onshore,SE_bus_el,SE_solar,SE_wind_onshore,SE_wind_offshore
target,AT_load,DE_bus_el,DE_bus_el,CH_load,CH_bus_el,CH_bus_el,CZ_load,CZ_bus_el,CZ_bus_el,DE_load,DE_bus_el,DE_bus_el,DE_bus_el,DE_bus_el,DK_load,DK_bus_el,DK_bus_el,DK_bus_el,FR_load,FR_bus_el,FR_bus_el,LU_load,DE_bus_el,DE_bus_el,NL_load,NL_bus_el,NL_bus_el,NL_bus_el,PL_load,PL_bus_el,PL_bus_el,SE_load,SE_bus_el,SE_bus_el,SE_bus_el
attribute,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,max,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value
2014-01-01 00:00:00+00:00,0.5590619824,0,0.0799131541,0.8326641627,0,0.1560439407,0.5548816862,0,0.058519237,0.5030849358,0,0.1073608992,0.8157106558,0.5030849358,0.528323892,0,0.8834182412,0.83,0.7373416575,0,0.4883787255,0.4233791749,0,0.2650686045,0.5830444204,0,0.7936104924,0.8206619099,0.547164242,0,0.0580124094,0.5855580573,0,0.0329016521,0.6141889347
2014-01-01 01:00:00+00:00,0.5336064859,0,0.00650601,0.8041704442,0,0.0334795225,0.5428514615,0,0.0603805182,0.4622070555,0,0.0497636872,0.83,0.4622070555,0.5069976674,0,1,0.83,0.7048942773,0,0.0417859147,0.4066797642,0,0.0001237148,0.550595883,0,0.1598334792,0.83,0.5205144423,0,1,0.5719684786,0,0.7351934253,0.83
2014-01-01 02:00:00+00:00,0.5060587569,0,0.0083357086,0.771532185,0,0.0603135674,0.5292304633,0,0.0710858015,0.4495371708,0,0.087620951,0.83,0.4495371708,0.4860046651,0,1,0.83,0.6615908515,0,0.0378684709,0.3929273084,0,0.0002420393,0.5208559047,0,0.3021229775,0.83,0.5024246258,0,1,0.5639675137,0,0.7917834059,0.83
2014-01-01 03:00:00+00:00,0.504140877,0,0.0087022434,0.7356560031,0,0.0864604389,0.523961026,0,0.0893640956,0.4482783807,0,0.1818396932,0.83,0.4482783807,0.4715094968,0,1,0.83,0.6381519363,0,0.0332970431,0.384086444,0,0.0001997961,0.5009750813,0,0.2996708599,0.83,0.4918406072,0,1,0.5608716629,0,1,0.83
2014-01-01 04:00:00+00:00,0.5071048732,0,0.0128508417,0.7405776454,0,0.1842849731,0.5155100418,0,0.0992184006,0.4601724158,0,0.0984206013,0.83,0.4601724158,0.4753415528,0,1,0.83,0.6348673485,0,0.0336060786,0.3831041257,0,0.0003589187,0.5003250271,0,0.2915759977,0.83,0.4875395319,0,1,0.5693148922,0,1,0.83
2014-01-01 05:00:00+00:00,0.5113765147,0,0.019571149,0.6938220438,0,0.4602201571,0.5134221515,0,0.1178683279,0.485802194,0,0.0876947538,0.83,0.485802194,0.4878373875,0,1,0.83,0.6353503762,0,0.0430158698,0.3791748527,0,0.0005642387,0.5156554713,0,0.3846968994,0.83,0.4899009066,0,1,0.5841508524,0,1,0.83
