class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,GL_resource_gas,GL_resource_gas,GL_bus_gas,,,,,,,,"54,05328",,,,,,,,,
Source,GL_resource_biomass,GL_resource_biomass,GL_bus_biomass,,,,,,,,"27,73476",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### AT,,,,,,,,,,,,,,,,,,,,
Sink,AT_excess,AT_bus_el,AT_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,AT_shortage,AT_shortage,AT_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,AT_pp_gas,AT_pp_gas,DE_bus_el,"0,425",1500,,,,,24000,"0,5",,,,,,,,,
LinearTransformer,AT_pp_gas,GL_bus_gas,AT_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,AT_pp_biomass,AT_pp_biomass,DE_bus_el,"0,38",3500,,,3406,,29000,"3,9",,,,,,,,,
LinearTransformer,AT_pp_biomass,GL_bus_biomass,AT_pp_biomass,,,,,,,,,,,,,,,,,
Source,AT_run_of_river,AT_run_of_river,DE_bus_el,,7401,,,,"0,65",,,TRUE,,,,,,,,
Source,AT_hydro,AT_hydro,DE_bus_el,,5676,,,2007,,,,,,,,,,,,
Source,AT_solar,AT_solar,DE_bus_el,,12090,,,,seq,,,TRUE,,,,,,,,
Source,AT_wind_onshore,AT_wind_onshore,DE_bus_el,,6880,,,,seq,,,TRUE,,,,,,,,
Source,AT_geothermal,AT_geothermal,DE_bus_el,,1,,,,"0,95",,,TRUE,,,,,,,,
Storage,AT_storage_a_caes,AT_storage_a_caes,DE_bus_el,,"23,63",,,,,,0,,,,,,,,,
Storage,AT_storage_a_caes,DE_bus_el,AT_storage_a_caes,,"23,63",,,,,,0,,"70,89",0,"0,837","0,837","0,5",0,1,
Storage,AT_storage_hydrogen,AT_storage_hydrogen,DE_bus_el,,"9,45",,,,,,0,,,,,,,,,
Storage,AT_storage_hydrogen,DE_bus_el,AT_storage_hydrogen,,"9,45",,,,,,0,,"94,51",0,"0,632","0,632","0,5",0,1,
Storage,AT_storage_lithium_ion,AT_storage_lithium_ion,DE_bus_el,,"240,99",,,,,,0,,,,,,,,,
Storage,AT_storage_lithium_ion,DE_bus_el,AT_storage_lithium_ion,,"240,99",,,,,,0,,"1204,95",0,"0,975","0,975","0,5",0,1,
Storage,AT_storage_pumped_hydro,AT_storage_pumped_hydro,DE_bus_el,,10733,,,,,,0,,,,,,,,,
Storage,AT_storage_pumped_hydro,DE_bus_el,AT_storage_pumped_hydro,,10733,,,,,,0,,443000,0,"0,894","0,894","0,5",0,1,
Storage,AT_storage_redox_flow,AT_storage_redox_flow,DE_bus_el,,"18,9",,,,,,0,,,,,,,,,
